2026-07-03 22:51:37 | ticketvision.data_loader | INFO     | Loading dataset from: D:\MLPs\TicketVision AI\data\raw\customer_support_tickets_200k.csv
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     | Dataset loaded successfully.
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     | Column validation passed — all required columns present.
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     | Dataset shape    : 200,000 rows x 3 columns.
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     | Data types:
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   product                   : object
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   category                  : object
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   issue_description         : object
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     | Missing values   : None detected.
2026-07-03 22:51:38 | ticketvision.data_loader | WARNING  | Duplicate rows   : 199000 (99.50% of dataset).
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     | Class distribution (10 unique categories):
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Feature Request                :  20169  (10.08%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Subscription Cancellation      :  20096  (10.05%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Performance Issue              :  20074  (10.04%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Security Concern               :  20040  (10.02%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Login Issue                    :  20002  (10.00%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Payment Problem                :  19997  (10.00%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Bug Report                     :  19981  ( 9.99%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Refund Request                 :  19900  ( 9.95%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Data Sync Issue                :  19877  ( 9.94%)
2026-07-03 22:51:38 | ticketvision.data_loader | INFO     |   Account Suspension             :  19864  ( 9.93%)
2026-07-03 22:56:01 | ticketvision.data_loader | INFO     | Loading dataset from: D:\MLPs\TicketVision AI\data\raw\customer_support_tickets_200k.csv
2026-07-03 22:56:02 | ticketvision.data_loader | INFO     | Dataset loaded successfully.
2026-07-03 22:56:02 | ticketvision.data_loader | INFO     | Column validation passed — all required columns present.
2026-07-03 22:56:02 | ticketvision.data_loader | INFO     | Dataset shape    : 200,000 rows x 3 columns.
2026-07-03 22:56:02 | ticketvision.data_loader | INFO     | Data types:
2026-07-03 22:56:02 | ticketvision.data_loader | INFO     |   product                   : object
2026-07-03 22:56:02 | ticketvision.data_loader | INFO     |   category                  : object
